listing_id,host_id,listing_type,reviews,satisfaction_rate,accommodates,bedrooms,price,latitude,longitude
9322983,48387673,Entire home/apt,4,4.5,8,5,177,51.438137,-2.569002
11515357,14130227,Entire home/apt,15,5,4,2,159,51.454518,-2.623922
7050002,29171318,Entire home/apt,29,5,5,2,151,51.466642,-2.575692
15643360,39548366,Entire home/apt,2,0,4,2,159,51.458174,-2.617232
5027387,24770635,Entire home/apt,61,5,4,2,159,51.474727,-2.625708
11959737,8521301,Entire home/apt,24,5,6,2,177,51.468118,-2.585939
15317193,86054284,Entire home/apt,12,5,6,2,151,51.457272,-2.58848
7582261,16236393,Entire home/apt,25,5,5,3,171,51.45584,-2.619582
1152539,6317053,Entire home/apt,11,4.5,5,5,139,51.479963,-2.597391
1664118,6517732,Entire home/apt,10,4.5,4,2,129,51.470666,-2.575694
11976402,17704789,Entire home/apt,3,3,6,2,127,51.452369,-2.617694
13368789,10399045,Entire home/apt,10,4.5,6,3,127,51.466505,-2.555103
13133203,20522861,Entire home/apt,0,0,5,3,126,51.495598,-2.64734
7568321,6316569,Entire home/apt,3,4.5,2,0,127,51.456248,-2.599306
3867615,178958,Entire home/apt,46,5,4,2,127,51.465728,-2.602671
16350620,32469015,Entire home/apt,0,0,4,1,127,51.48222,-2.615692
9234627,9353877,Entire home/apt,23,5,4,2,127,51.46534,-2.55872
8590563,17925448,Entire home/apt,2,0,6,3,127,51.473627,-2.578882
13844243,43691831,Entire home/apt,3,5,8,4,127,51.479901,-2.586954
12350376,27349373,Entire home/apt,0,0,6,3,127,51.462336,-2.559982
13823255,54487103,Entire home/apt,0,0,7,3,144,51.481002,-2.577935
13339118,20648813,Entire home/apt,0,0,2,0,144,51.45391,-2.593712
5517350,6316569,Entire home/apt,12,4.5,2,0,127,51.45507,-2.600529
10385652,3424802,Entire home/apt,0,0,6,3,139,51.466291,-2.586241
13160015,73485238,Entire home/apt,1,0,6,2,139,51.451429,-2.619678
15705791,34607491,Entire home/apt,1,0,4,3,126,51.495925,-2.647449
8932993,37533889,Entire home/apt,2,0,4,2,126,51.457455,-2.611764
8998759,47000633,Entire home/apt,0,0,11,5,127,51.458433,-2.559037
14278868,38924872,Entire home/apt,11,4.5,5,2,126,51.497069,-2.613309
14053051,34821708,Entire home/apt,4,5,4,2,127,51.449594,-2.601752
14876331,6379248,Entire home/apt,9,5,6,2,126,51.449,-2.618327
16064721,36103936,Entire home/apt,0,0,1,1,127,51.459519,-2.616413
